"","Picture","Mask.center.1.inside.Mask.2","Ripley.s.K.of.2.coloc..with.1","SODA.of.2.coloc..with.1"
"736",80,0.05,0.54,0.35
"737",80,0,0.4,0.4
"738",80,0.04,0.46,0.34
"739",80,0,0.46,0.48
"740",80,0.02,0.43,0.4
"741",80,0.02,0.36,0.29
"742",80,0,0.42,0.4
"743",80,0.03,0.56,0.39
"744",80,0.03,0.42,0.35
"745",80,0,0.51,0.45
"746",80,0,0.35,0.39
"747",80,0.01,0.4,0.4
"748",80,0.03,0.44,0.36
"749",80,0.01,0.47,0.41
"750",80,0,0.45,0.4
"751",80,0.02,0.53,0.36
"752",80,0,0.45,0.39
"753",80,0,0.36,0.34
"754",80,0.03,0.54,0.42
"755",80,0.05,0.61,0.49
"756",80,0.02,0.47,0.38
"757",80,0.02,0.52,0.42
"758",80,0,0.42,0.43
"759",80,0,0.3,0.28
"760",80,0.08,0.53,0.42
"761",80,0.03,0.36,0.28
"762",80,0.01,0.5,0.39
"763",80,0,0.43,0.39
"764",80,0.03,0.42,0.45
"765",80,0.03,0.37,0.31
"766",80,0.03,0.55,0.34
"767",80,0.03,0.45,0.37
"768",80,0,0.34,0.35
"769",80,0.03,0.42,0.36
"770",80,0.02,0.45,0.42
"771",80,0,0.52,0.44
"772",80,0,0.4,0.4
"773",80,0.03,0.61,0.4
"774",80,0.05,0.57,0.47
"775",80,0.01,0.37,0.29
"776",80,0.01,0.54,0.42
"777",80,0,0.41,0.37
"778",80,0,0.42,0.38
"779",80,0.01,0.43,0.31
"780",80,0,0.33,0.32
"781",80,0,0.39,0.43
"782",80,0.03,0.55,0.36
"783",80,0.04,0.39,0.4
"784",80,0.03,0.52,0.4
"785",80,0.03,0.44,0.33
"786",80,0.04,0.54,0.38
"787",80,0.03,0.52,0.42
"788",80,0.04,0.55,0.39
"789",80,0.04,0.41,0.31
"790",80,0.01,0.41,0.29
"791",80,0,0.55,0.46
"792",80,0.03,0.55,0.36
"793",80,0.03,0.46,0.35
"794",80,0.05,0.66,0.5
"795",80,0,0.43,0.39
"796",80,0.05,0.37,0.34
"797",80,0.03,0.4,0.38
"798",80,0.03,0.47,0.35
"799",80,0,0.39,0.43
"800",80,0.03,0.44,0.37
"801",90,0.02,0.51,0.39
"802",90,0.06,0.5,0.41
"803",90,0.06,0.88,0.58
"804",90,0,0.46,0.47
"805",90,0,0.44,0.47
"806",90,0.02,0.48,0.43
"807",90,0.07,0.62,0.46
"808",90,0,0.49,0.48
"809",90,0.04,0.44,0.35
"810",90,0.03,0.61,0.56
"811",90,0.03,0.51,0.51
"812",90,0.02,0.61,0.46
"813",90,0.03,0.7,0.62
"814",90,0.02,0.51,0.45
"815",90,0.02,0.39,0.33
"816",90,0,0.53,0.49
"817",90,0.03,0.46,0.37
"818",90,0.04,0.64,0.44
"819",90,0,0.42,0.43
"820",90,0.01,0.52,0.36
"821",90,0.03,0.7,0.54
"822",90,0,0.35,0.39
"823",90,0.09,0.66,0.47
"824",90,0.01,0.65,0.61
"825",90,0.02,0.53,0.4
"826",90,0.01,0.42,0.35
"827",90,0.02,0.54,0.56
"828",90,0.03,0.63,0.47
"829",90,0.02,0.41,0.36
"830",90,0.03,0.55,0.42
"831",90,0,0.53,0.48
"832",90,0,0.39,0.34
"833",90,0.02,0.3,0.24
"834",90,0.02,0.45,0.43
"835",90,0.01,0.46,0.46
"836",90,0,0.61,0.52
"837",90,0,0.46,0.42
"838",90,0.01,0.35,0.29
"839",90,0.01,0.51,0.44
"840",90,0.04,0.55,0.42
"841",90,0,0.32,0.38
"842",90,0.03,0.52,0.43
"843",90,0.05,0.66,0.54
"844",90,0,0.28,0.25
"845",90,0.02,0.39,0.43
"846",90,0,0.43,0.42
"847",90,0.03,0.71,0.61
"848",90,0,0.45,0.47
"849",90,0,0.51,0.39
"850",90,0.02,0.41,0.31
